StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Intro,"Age1 ",Age2cope,Class1,Class2cope,RaceEthnicity1,RaceEthnicity2cope,religion1,religion2cope,Disability1,Disability2cope,Neurodiversity1,Neurodiversity2cope,Gender1,Gender2cope,LGBTQIA+1,LGBTQIA+2cope,Pronouns1,Pronouns1_5_TEXT,Pronouns2experience,Pronouns3feel,"IdentityAffinity ","IdentityMore "
2023-11-09 20:33:00,2023-11-09 20:41:38,IP Address,100,517,True,2023-11-09 20:41:39,R_1ezX9XQ5Kq4j5qR,anonymous,EN,"I agree, begin the research survey",24,,"I would describe myself as growing up lower class. ","I hide details about my life and circumstances and do code switching. ",Asian,"I have hidden details about my life because they were irrelevant to the situation. ","I am not religious. ","I have not experienced this. ","I have bipolar II disorder. ","I have tried to hide my medication and the fact that I have been hospitalized. ","I do not believe I have these conditions. ","I do not believe I have experienced this. ",Female,"I feel that I have to assert myself more to be taken seriously. ",,,she/her/hers,,"I do not mind doing this. ","I generally feel fine doing this, but I feel self conscious about those who do not agree with the usage of pronouns. ",,"I believe that order of siblings (younger vs older) matters to identity. "
2023-11-13 19:06:27,2023-11-13 19:20:11,IP Address,100,823,True,2023-11-13 19:20:12,R_1nN2QFdfMAMhaia,anonymous,EN,"I agree, begin the research survey",25,,Higher middle class,Being honest and transparent has helped me as that does not come with an extra burden.,Indian,Using nick name has helped me.,"Yes, I follow Jainism. ",Never faced this issue.,I am not disabled.,Not applicable.,I am not.,Not applicable.,Male,Facing the situation has worked.,,,he/him/his,,I do not think it is necessary.,Very uncomfortable.,,
2023-11-14 19:51:04,2023-11-14 20:05:15,IP Address,100,851,True,2023-11-14 20:05:16,R_3P7iqy1yG2uOrnt,anonymous,EN,"I agree, begin the research survey",21,,"My family is upper middle class. We have always lived in 3-4 bedroom houses. I have been publically educated my whole life until DePaul. My dad gets medical insurance through his job and my whole family gets access to it. I feel I have many opportunities, my dad has a career in a field that I want to also go into so he can introduce me to people in the industry. ","I do not think that I code-switch. I do have friends who have talked about it and I have witnessed it as well. I cannot think of specific occasions. ","White. I am Norwegian and Irish. ","I have not experienced racism or discrimination based on my race or ethnicity. ","not religious ","not religous ","not disabled ","not disabled ",not neurodivergent,not neurodivergent,female (she/her),"I have been in many situations where I or a friend has been over-sexualized or objectified by random men and male friends. I don't think I cope with it, it is just like what is expected to happen and it is what it is. I just tell myself I'm more than my body and hope for the best. ",,,she/her/hers,,"I haven't had any major issues with sharing my pronouns. I have been thinking about she/them pronouns for a long time, in a class will say that is my preferred pronoun but the they/them doesn't ever seem to come out and I am fine being called she so I don't push that hard for it because the class is more random people. My friends on occasion use they/them but I feel like its in a more general way not in a ""this person prefers these pronouns"" type way","Sometimes I wish pronouns didn't exist and people just got to be people. But I think that it's not a bad thing because you want to respect people. ",,"I wish gender didn't have to be such a big thing. I just want to be human you know. but I love expressing myself, especially through clothes. just like why do people care so much about how people want to identify? sorry this is probably not that helpful just my final thoughts I guess. "
2023-11-16 00:06:17,2023-11-16 00:47:38,IP Address,100,2480,True,2023-11-16 00:47:39,R_2EufMaOhBg6JJpo,anonymous,EN,"I agree, begin the research survey",22,,"I was raised in the upper-middle class, in an affluent white area. (I was also adopted)","I definitely code-switch or actively choose to talk less because I know my thoughts are different.  I also withhold information about my life, in fear of how it will be perceived. I will also dress differently depending on the circumstances - might wear name brands or ambiguous clothing to fit in. ","I was adopted from China, but have been raised in America since I was 14 months old. I am Asian American. ","I lived in an affluent white area, and being one of the few Asians, I made a lot of racist self-deprecating jokes to try to fit in. I thought this would make me friends with the cool kids. I actively ignored my ""asianess"" and felt ashamed until I went to college. Although I was adopted by a white family, I had chosen to whitewash myself. I truly regret not exploring my culture at a young age, because I was so embarrassed by it. ","I was raised Catholic and went through confirmation for my grandmother, but I identify as an atheist. ","Fortunately, I have not experienced religious discrimination, but I have faced prejudice from people of my religion at the time for my beliefs, which helped lead to me becoming an atheist. ","I struggle with mental disabilities. ","I have not found any healthy coping mechanisms that work. The mechanisms I use are avoidance and marijuana. ","I have ADHD, depression, and anxiety. There's a possibility I am bipolar. ","Again I do not have healthy coping mechanisms for this. ",Female,"Withholding personal details. Not acknowledging it. ",,,she/her/hers,,"I understand why pronouns are important, and as a cis woman, I have not struggled with sharing my pronouns. ","I understand why it's necessary, but at the same time, I feel silly sharing mine because I identify as she/ her and appear feminine. I do not mind doing it though, to show support. ",,"I was adopted and raised by two single mothers. They are two undeniably strong and independent women. I have had strong women as role models and feel this has truly impacted my identity. I feel entitled to my opinion and value myself, sometimes to a fault, but my mothers have taught me to be compassionate and stand up for what I believe in. "
2023-11-18 09:33:18,2023-11-18 10:19:12,IP Address,100,2753,True,2023-11-18 10:19:12,R_2vk1ozgWwucXusq,anonymous,EN,"I agree, begin the research survey",35,,Middle Class,Avoid the people who might appear snobbish.,White/Caucasian,Adjust my choice of words based on which social group I may be in at the moment.,N/A,"By being non-religious, I have been criticized for not belonging to the church and have had to defend my relationships with family and friends. Though i don't support religion, it seems some religious people feel they have a superiority over non-believers.",Learning difficulty,Avoid the situation and redirect the conversation.,Dyslexic,avoid drawing to much attention.,male,I don't fit any gender stereotype and often that causes people to be unable to interact as it may be outside of their social script. Often this leads me to being excluded from the social gatherings and instead I drift towards taking care of the kids or playing with the animals.,,,he/him/his,,n/a,"awkward, but respected if mentioned.",,"Personally, I prefer not to belong to any group or identity. I would rather be the only one responsible in how people see me and I have a strong dislike for faking my behavior to gain social inclusion."
2023-11-18 19:34:48,2023-11-18 19:48:32,IP Address,100,824,True,2023-11-18 19:48:33,R_1pYcBlNQMp5jABO,anonymous,EN,"I agree, begin the research survey",27,,Upper Middle Class Indian,"So back in my schools days, there was a sense of insecurity among individuals which related to their economic background, caste status (that's a thing in India). So  children used to judge other children by the vehicles they own, the gadgets they had, the money they spent in the school's canteen, etc. At that point of time, I was in the Middle class state of the Indian society. My school was a convent and a lot of rich kids went there. As a results, I used to hide details about my personal background to mix with the crowd.",India/Hindu/Brown,People use to hide their caste status as India/Hinduism has a very rigid caste structure which is also one of the older apartheid systems in the world. So people usually hide their last names because your caste is directly linked to the last name you have.,I was born in a Hindu family. I am an atheist.,"India has a subtle islamophobic undercurrent; even in the most elite circles. Therefore, its a common practice for muslims/muslim kids to hide their religious identities at time which can lead to a blatant discrimination with them.",I'm not a person with disability.,"Since I'm not a person with disability, I haven't directly witnessed any form of Ableism.",I'm not neurodivergent.,Not applicable to me personally.,I'm a heterosexual Male.,I have't witnessed any form of gender discrimination as I am a male in a patriarchic society.,,,he/him/his,,I am very comfortable sharing my pronouns since it is a socially acceptable pronoun.,It doesn't affect me.,,"I think we should have open spaces where people with ""un-orthodox"" (using it as a dig) identifies can come out comfortably. We all should strive to design such places with the organization where we work. "
2023-11-18 21:48:25,2023-11-18 22:04:12,IP Address,100,947,True,2023-11-18 22:04:13,R_3MyEuB5M0bhk3qO,anonymous,EN,"I agree, begin the research survey",27,,Working Lower Middle Class,I usually do not engage with the individual or avoid them,Mexican/Latino,I try not to give a reaction or escalate the situation by disengaging with or avoiding the person.,I would say I'm spiritual but not to a specific religion.,Try to ignore and avoid.,I have ADHD,My meds,ADHD,Masking,Male,,,,he/him/his,,Usually just in school settings.,I'm happy it gives others the opportunity to express themselves in a free and authentic way.,,"I think perception is a big factor in one's identity. We have our own perception of our identity and there are also external perceptions of our identity. Social Status, Class and. even history all influence our identity in addition to what was already brought up during the survey."
2023-10-18 15:46:15,2023-11-07 16:49:42,IP Address,25,1735407,False,2023-11-21 16:49:45,R_1mr5BPyLjfAIzzY,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,
2023-10-16 15:22:08,2023-11-08 07:47:48,IP Address,8,1963539,False,2023-11-22 07:47:54,R_1Ej3FhFKIIHLgmc,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,
2023-11-07 16:21:04,2023-11-07 16:55:25,IP Address,22,2061,False,2023-12-07 16:55:31,R_2vk6ZGCuFc1m8vP,anonymous,EN,"I agree, begin the research survey",49,,"middle, precarious ",early on I decided to exit the games,,,,,,,,,,,,,,,,,,
2023-11-07 16:59:47,2023-11-07 17:00:01,IP Address,11,13,False,2023-12-07 17:00:01,R_3JKqonPToJFMyp4,anonymous,EN,"I agree, begin the research survey",19,,,,,,,,,,,,,,,,,,,,,
2023-11-07 18:18:30,2023-11-07 18:33:00,IP Address,6,869,False,2023-12-07 18:33:05,R_2E1bokdbWTqEmHL,anonymous,EN,"I agree, begin the research survey",,,,,,,,,,,,,,,,,,,,,,
2023-11-07 17:53:32,2023-11-07 19:55:36,IP Address,11,7323,False,2023-12-07 19:55:37,R_1jHBNWgEhPFckrZ,anonymous,EN,"I agree, begin the research survey",21,,,,,,,,,,,,,,,,,,,,,
2023-12-13 16:41:28,2023-12-13 18:00:52,IP Address,100,4763,True,2023-12-13 18:00:54,R_7khuoB9GHvpSVpC,anonymous,EN,"I agree, begin the research survey",29,,"My background has provided for all the basic needs such as food, shelter, and an opportunity to study in decent institutions. I am a second child and my sibling is 10 years older than me. we are only two siblings. I had an opportunity to do an expensive master's two-year degree that my elder sibling did not have. ","yes I have observed classism around me. I come from a culture with a diversity. Putting myself in that shoe, I feel I have experienced both sides of a coin. I have seen people with more privileges due to their backgrounds so they are ahead of me in a career and the case where there are less privileged people than me and so the gap in overall development along with career. Hard work is in one place but multiple factors can strongly affect the overall intellect and upbringing if people belong to a struggling class in any way. Less privileged people around me have reminded me to be always grateful, be grounded, and be helpful in any way possible to the people in need or who seek help and guidance. For the inferiority I get from more privileged people, I try to analyze what is more that they have got. suppose that can be expensive online resources, personal coaching, time, or any skill. Then I try and put into perspective how can I acquire that, I try to plan my finances or habits or mindset. I try to gain skills so that I can be part of the same or similar community where the lead people exist. Keep moving in a structured way is the only way forward. I tell myself that all these steps are the cost I need to pay to get there eventually or at least rise above where I am right now.","I am Asian. I have strong family roots. I am brown-skinned. I am proud of my native language, cultural habits, and values.  A sense of community and belongingness helps me sustain myself in new places. ",,"I am a religious and spiritual person. I respect what I have been passed on from my elder generations to me. It offers a coping mechanism to survive psychological challenges and struggles. But at the same time, I respect all religions from across the globe. I would describe my religion as something that promotes and pours strength, love, positivity, brotherhood and sisterhood, peace, and surrender to a spiritual superpower to feel liberated.",,I believe every human on earth has a disability of some kind. We don't understand each other fully in one lifetime. I am disabled in communicating and understanding my feelings. And I realize this frequently especially when I read something that opens up a new perspective or I am in agony or anger or discomfort and I consciously realize that but the bigger problem is when I fail to translate/process my feelings and inability to handle those with people around me.,,,,"I am a strong, extroverted woman. ","I have not experienced any kind of sexism. But I have seen people around me having less tolerance for the acceptance of the LGBTQ community. I do not like this biased attitude in people around me but raising such conversation, and voicing out the opinion may put me in a spot of isolation in my family or within the group of people around me. So my coping mechanism is not to indulge in any opinion if at all the conversation takes place. I am not afraid of voicing my opinion but I do not want to be left out of the family or group because I am not going to get daily support from strangers so it does not matter what I think of the LGBTQ community. I might sound selfish but here I am not afraid to share and I hope that technology can bring awareness and can uplift the thinking of people universally.",,,she/her/hers,,"Honestly, so far none that I have actively come across.","It makes me feel great. Having the control over what I want to be seen as is great. I respect all the people who do the same thing and I accept them for their real identities. ",,"having a choice and a space to share about identity is a must-have feature. It is more than a feature for any product. It gives control and space to be able to put yourself out as and when you get the strength to do that. And as many people join this thing, it can be a snowball effect that now many people are less afraid to put themselves out. I am digressing a bit, but I feel con of community construct can sometimes restrict the scope to embrace a change or a relatively new perspective. Maybe tech tools should stabilize the effects of community and provide a platform to rise above the community and make the community of skills rather than old/biased thought processes."
